Date,Station,Hauteur,Opérationnel
2019-09-14,01 VILLEURBANNE,0.0,True
2019-09-15,01 VILLEURBANNE,0.0,True
2019-09-16,01 VILLEURBANNE,0.0,True
2019-09-19,01 VILLEURBANNE,0.0,True
2019-09-20,01 VILLEURBANNE,0.0,True
2019-09-21,01 VILLEURBANNE,0.0,True
2019-09-22,01 VILLEURBANNE,7.6000000000000005,True
2019-09-23,01 VILLEURBANNE,0.0,True
2019-09-24,01 VILLEURBANNE,0.6000000000000001,True
2019-09-25,01 VILLEURBANNE,2.2,True
2019-09-26,01 VILLEURBANNE,0.0,True
2019-09-28,01 VILLEURBANNE,0.0,True
2019-09-29,01 VILLEURBANNE,0.0,True
2019-09-30,01 VILLEURBANNE,1.0,False
2019-10-01,01 VILLEURBANNE,9.799999999999999,True
2019-10-02,01 VILLEURBANNE,1.0,True
2019-10-04,01 VILLEURBANNE,0.0,True
2019-10-05,01 VILLEURBANNE,0.0,True
2019-10-06,01 VILLEURBANNE,3.8000000000000003,True
2019-10-09,01 VILLEURBANNE,8.6,True
2019-10-10,01 VILLEURBANNE,0.0,True
2019-10-11,01 VILLEURBANNE,0.0,True
2019-10-15,01 VILLEURBANNE,56.0,True
2019-10-16,01 VILLEURBANNE,0.0,True
2019-10-17,01 VILLEURBANNE,1.4000000000000001,True
2019-10-18,01 VILLEURBANNE,3.6,True
2019-10-19,01 VILLEURBANNE,3.8000000000000003,True
2019-10-20,01 VILLEURBANNE,41.0,True
2019-10-21,01 VILLEURBANNE,5.2,True
2019-10-22,01 VILLEURBANNE,0.8,True
2019-10-23,01 VILLEURBANNE,21.0,True
2019-10-24,01 VILLEURBANNE,0.4,True
2019-10-26,01 VILLEURBANNE,0.0,True
2019-10-27,01 VILLEURBANNE,0.0,True
2019-10-28,01 VILLEURBANNE,2.4000000000000004,True
2019-10-29,01 VILLEURBANNE,0.0,True
2019-10-30,01 VILLEURBANNE,0.0,True
2019-10-31,01 VILLEURBANNE,4.6000000000000005,True
2019-11-01,01 VILLEURBANNE,4.2,True
2019-11-02,01 VILLEURBANNE,1.2000000000000002,True
2019-11-03,01 VILLEURBANNE,5.4,True
2019-11-04,01 VILLEURBANNE,3.2,True
2019-11-05,01 VILLEURBANNE,0.8,True
2019-11-06,01 VILLEURBANNE,0.0,True
2019-11-07,01 VILLEURBANNE,2.6,True
2019-11-09,01 VILLEURBANNE,0.0,True
2019-11-10,01 VILLEURBANNE,0.6000000000000001,True
2019-11-11,01 VILLEURBANNE,0.4,True
2019-11-12,01 VILLEURBANNE,0.0,True
2019-11-14,01 VILLEURBANNE,49.800000000000004,True
2019-11-15,01 VILLEURBANNE,5.800000000000001,True
2019-11-16,01 VILLEURBANNE,0.0,True
2019-11-17,01 VILLEURBANNE,0.2,True
2019-11-18,01 VILLEURBANNE,0.0,True
2019-11-21,01 VILLEURBANNE,4.6000000000000005,True
2019-11-22,01 VILLEURBANNE,0.2,True
2019-11-23,01 VILLEURBANNE,9.600000000000001,True
2019-11-24,01 VILLEURBANNE,1.2000000000000002,True
2019-11-27,01 VILLEURBANNE,4.2,True
2019-11-28,01 VILLEURBANNE,0.0,True
2019-11-29,01 VILLEURBANNE,6.6000000000000005,True
2019-11-30,01 VILLEURBANNE,0.0,True
2019-12-01,01 VILLEURBANNE,22.8,True
2019-12-02,01 VILLEURBANNE,0.0,True
2019-12-04,01 VILLEURBANNE,0.2,True
2019-12-05,01 VILLEURBANNE,0.0,True
2019-12-06,01 VILLEURBANNE,0.0,True
2019-12-07,01 VILLEURBANNE,0.0,True
2019-12-08,01 VILLEURBANNE,1.0,True
2019-12-09,01 VILLEURBANNE,1.0,True
2019-12-11,01 VILLEURBANNE,10.4,True
2019-12-12,01 VILLEURBANNE,3.0,True
2019-12-13,01 VILLEURBANNE,10.0,True
2019-12-14,01 VILLEURBANNE,10.200000000000001,True
2019-12-16,01 VILLEURBANNE,0.0,True
2019-12-17,01 VILLEURBANNE,0.0,True
2019-12-18,01 VILLEURBANNE,0.4,True
2019-12-19,01 VILLEURBANNE,0.0,True
2019-12-20,01 VILLEURBANNE,12.0,True
2019-12-21,01 VILLEURBANNE,8.8,True
2019-12-22,01 VILLEURBANNE,2.2,True
2019-12-23,01 VILLEURBANNE,1.2000000000000002,True
2019-12-24,01 VILLEURBANNE,2.4000000000000004,True
2019-12-26,01 VILLEURBANNE,0.0,True
2019-12-27,01 VILLEURBANNE,2.8000000000000003,True
2019-12-31,01 VILLEURBANNE,0.2,True
2020-01-01,01 VILLEURBANNE,0.0,True
2020-01-02,01 VILLEURBANNE,0.0,True
2020-01-03,01 VILLEURBANNE,0.2,True
2020-01-04,01 VILLEURBANNE,0.2,True
2020-01-06,01 VILLEURBANNE,0.2,True
2020-01-07,01 VILLEURBANNE,0.0,True
2020-01-08,01 VILLEURBANNE,0.0,True
2020-01-09,01 VILLEURBANNE,0.2,True
2020-01-10,01 VILLEURBANNE,0.2,True
2020-01-13,01 VILLEURBANNE,0.0,True
2020-01-15,01 VILLEURBANNE,0.0,True
2020-01-17,01 VILLEURBANNE,6.6000000000000005,True
2020-01-18,01 VILLEURBANNE,0.0,True
2020-01-22,01 VILLEURBANNE,0.0,True
2020-01-23,01 VILLEURBANNE,0.0,True
2020-01-24,01 VILLEURBANNE,0.0,True
2020-01-25,01 VILLEURBANNE,0.2,True
